gene_nr,identifier,accession,length,dtm_type,n_signal,n_tm,sp_start,sp_end,sp_length,tm_1_start,tm_1_end,tm_1_length,tm_2_start,tm_2_end,tm_2_length,tm_3_start,tm_3_end,tm_3_length,tm_4_start,tm_4_end,tm_4_length,tm_5_start,tm_5_end,tm_5_length,tm_6_start,tm_6_end,tm_6_length,tm_7_start,tm_7_end,tm_7_length,tm_8_start,tm_8_end,tm_8_length,tm_9_start,tm_9_end,tm_9_length,tm_10_start,tm_10_end,tm_10_length,tm_11_start,tm_11_end,tm_11_length,tm_12_start,tm_12_end,tm_12_length,tm_13_start,tm_13_end,tm_13_length,tm_14_start,tm_14_end,tm_14_length,tm_15_start,tm_15_end,tm_15_length,tm_16_start,tm_16_end,tm_16_length,tm_17_start,tm_17_end,tm_17_length,tm_18_start,tm_18_end,tm_18_length,tm_19_start,tm_19_end,tm_19_length,tm_20_start,tm_20_end,tm_20_length,tm_21_start,tm_21_end,tm_21_length,tm_22_start,tm_22_end,tm_22_length,tm_23_start,tm_23_end,tm_23_length,tm_24_start,tm_24_end,tm_24_length
201150,TGME49_201150,"A0A7J6K947,S8F6K7",1965,TM,0,10,,,,536,553,18,574,590,17,609,621,13,623,632,10,870,879,10,881,890,10,1161,1181,21,1207,1220,14,1804,1819,16,1832,1852,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201160,TGME49_201160,"A0A7J6K827,S8F3J4",189,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201170,TGME49_201170,"A0A125YGF5,A0A7J6K8U0",126,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201180,TGME49_201180,"A0A7J6K7B8,S8GP38",1237,SP+TM,1,3,1,21,21,94,110,17,161,177,17,253,267,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201200,TGME49_201200,"A0A7J6K914,S8F6K2",640,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201210,TGME49_201210,"A0A7J6K6C8,S8F3J0",709,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201220,TGME49_201220,"A0A125YV87,A0A7J6K7R7",603,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201230,TGME49_201230,"A0A7J6K6D1,S8F9P8",1249,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201240,TGME49_201240,"A0A125YVH9,A0A7J6K8G7",631,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201250,TGME49_201250,"A0A7J6K937,S8F3I6",1635,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201260,TGME49_201260,"A0A7J6K816,A4GT86,S8GET0",693,TM,0,12,,,,131,151,21,180,200,21,208,225,18,230,250,21,264,286,23,295,313,19,384,404,21,418,438,21,447,468,22,503,524,22,538,558,21,568,588,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201270,TGME49_201270,"A0A7J6K8T0,S8GP32",964,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201380,TGME49_201380,"A0A7J6K7A8,O02607,S8F9P4",536,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201390,TGME49_201390,"A0A7J6K7F7,S8F6J3",108,SP+TM,1,1,1,22,22,70,90,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201400,TGME49_201400,"A0A7J6K905,S8F3I3",868,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201520,TGME49_201520,"A0A7J6K6B7,S8GES5",373,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201630,TGME49_201630,"A0A7J6K7Q7,S8GP24",372,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201660,TGME49_201660,"A0A7J6K927,S8F3H4",588,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201670,TGME49_201670,S8GER5,920,TM,0,8,,,,86,99,14,107,122,16,452,471,20,486,501,16,520,536,17,589,601,13,742,751,10,753,762,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201680,TGME49_201680,"A0A7J6K8S1,S8GP08",1033,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201690,TGME49_201690,"A0A7J6K797,S8F9H7",834,TM,0,14,,,,175,193,19,212,227,16,244,261,18,270,290,21,312,332,21,339,358,20,383,403,21,408,423,16,437,452,16,477,495,19,505,525,21,542,554,13,577,593,17,619,634,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201700,TGME49_201700,"A0A7J6K7E8,S8F6C0",654,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201710,TGME49_201710,"A0A7J6K8Z4,S8F3F2",555,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201720,TGME49_201720,"A0A7J6K6A5,S8GEP7",381,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201730,TGME49_201730,"A0A7J6K7P7,S8GP02",206,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201740,TGME49_201740,"A0A7J6K6A8,S8F9H3",440,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201750,TGME49_201750,"A0A125YNM8,A0A7J6K8E6",123,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201760,TGME49_201760,"A0A125YUC9,A0A7J6K913",336,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201770,TGME49_201770,"A0A7J6K801,S8GEN8",929,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201775,TGME49_201775,"A0A125YFU5,A0A7J6K8R1",93,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201780,TGME49_201780,"O00816,S8F9G8",769,SP+TM,1,1,1,26,26,707,716,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201785,TGME49_201785,"A0A7J6K7D8,S8F6B2",132,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201790,TGME49_201790,"A0A7J6K8Y4,S8F3D9",556,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201800,TGME49_201800,"A0A125YM53,A0A7J6K693",267,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201810,TGME49_201810,"A0A7J6K7P0,S8GEN2",342,SP,1,0,1,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201820,TGME49_201820,"A0A7J6K697,S8F9G0",2625,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201830,TGME49_201830,"A0A7J6K8D6,S8F6A8",459,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201840,TGME49_201840,"A0A7J6K902,Q6PTV2,S8F3D0",619,TM,0,1,,,,104,129,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201850,TGME49_201850,"A0A7J6K7Y7,S8GEM4",453,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201860,TGME49_201860,"A0A125YR16,A0A7J6K8Q1",157,SP,1,0,1,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201870,TGME49_201870,"A0A7J6K777,S8F9F5",1057,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201880,TGME49_201880,"A0A125YZ21,A0A7J6K7C8",128,TM,0,1,,,,83,103,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201900,TGME49_201900,"A0A7J6K7N1,S8GNY5",838,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202010,TGME49_202010,"A0A7J6K687,S8F9F0",857,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202020,TGME49_202020,"A0A7J6K8C7,A2TF42,S8F6A1",763,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202040,TGME49_202040,"A0A7J6K8N8,S8GNY1",1047,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202050,TGME49_202050,"A0A7J6K768,S8F9E4",392,TM,0,2,,,,194,203,10,262,277,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202065,TGME49_202065,"A0A125YQJ9,A0A7J6K7B9",125,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202070,TGME49_202070,"A0A7J6K8W1,S8GEK1",7892,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202080,TGME49_202080,"A0A7J6K675,S8GNX4",1293,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202090,TGME49_202090,"A0A7J6K7M1,S8F9E0",198,SP,1,0,1,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202100,TGME49_202100,"A0A7J6K677,S8F691",144,SP,1,0,1,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110,TGME49_202110,"A0A7J6K8B8,S8F3A1",279,SP,1,0,1,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202120,TGME49_202120,"A0A7J6K8Y2,S8GEJ5",1322,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202140,TGME49_202140,"A0A7J6K7W7,S8GNW8",631,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202160,TGME49_202160,"A0A7J6K8M6,S8F9D6",918,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202170,TGME49_202170,"A0A7J6K760,S8F686",764,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202180,TGME49_202180,"A0A7J6K7A9,S8F394",1399,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202190,TGME49_202190,"A0A7J6K8V0,S8GEJ0",1024,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200,TGME49_202200,"A0A7J6K667,S8GNW3",793,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202205,TGME49_202205,"A0A7J6K7K9,S8F9D3",133,SP,1,0,1,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202210,TGME49_202210,"A0A125YJL6,A0A7J6K665",386,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202220,TGME49_202220,"A0A7J6K8A7,S8F387",1148,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202230,TGME49_202230,"A0A7J6K8X3,S8GEI3",1452,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202240,TGME49_202240,"A0A7J6K7V8,S8GNV8",1856,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202250,TGME49_202250,"A0A7J6K8L9,S8F9C9",1041,TM,0,4,,,,612,621,10,623,632,10,645,665,21,721,730,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202255,TGME49_202255,"A0A7J6K750,S8F675",559,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202285,TGME49_202285,"A0A7J6K654,S8GNV4",360,TM,0,1,,,,335,355,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202290,TGME49_202290,"A0A125YUR2,A0A7J6K7K1",349,TM,0,4,,,,44,64,21,88,108,21,138,158,21,295,313,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202300,TGME49_202300,"A0A125YMV5,A0A7J6K656",222,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202310,TGME49_202310,"A0A7J6K896,S8F373",580,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202330,TGME49_202330,S8GEH0,199,GLOB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
