gene_nr,uniprot
205330,A0A125YNT4
205340,A0A125YN63
205350,A0A125YTU8
205360,S8GDT3
205370,S8GN41
205380,A0A125YRB2
205390,A0A125YVT7
205398,A0A125YGP8
205402,A0A125YVF6
205410,S8GN37
205420,S8F8S9
205425,S8F5L1
205430,A0A125YMQ3
205440,S8GDS3
205450,A0A125YGQ4
205460,A0A125YQ65
205470,S8F5K7
205480,S8F2J4
205490,A0A125YYS2
205500,S8GN30
205510,S8F8S4
205520,S8F2J1
205530,S8F5K3
205540,S8GDR3
205550,S8GN25
205558,A0A125YY47
205562,S8F5J9
205570,A0A125YGM2
205580,A0A125YNJ5
205590,S8GN22
205600,S8F8R8
205615,S8F5J7
205625,S8F2I6
205630,S8GDQ6
205640,S8GN19
205650,S8F8R5
205658,S8F5J1
205662,A0A125YIC4
205670,A0A125YS14
205680,S8GN16
205690,S8F8R1
205700,S8F5I7
205710,S8F2I2
205720,A0A125YQM0
205730,A0A125YFK3
205740,S8F8Q7
205750,S8F5H9
205760,A0A125YHR6
205770,S8GDP4
206290,S8GN10
206300,S8F8Q5
206310,S8F5H4
206320,S8F2H8
206330,S8GDP1
206340,A0A125YKD8
206350,A0A125YR12
206360,S8F5H0
206380,S8F2H4
206390,A0A125YU14
206400,S8GN02
206415,S8F8P7
206430,S8F5G6
206440,A0A125YLH7
206450,S8F2H1
206460,S8GMZ9
206470,S8F5G1
206480,A0A125YZ97
206490,S8F2G8
206500,S8GDM8
206510,S8GMZ4
206520,S8F5F7
206540,S8F8P1
206550,S8F2G6
206560,A0A125YWD4
206570,S8GMZ2
206580,A0A125YM16
206590,S8F5F3
206600,S8F2G3
206610,S8GMY7
206620,S8F8N5
206630,S8F5F0
206640,S8F2F9
206650,S8GDL5
206660,S8GMY5
206670,S8F8N1
206680,S8F5E6
206690,S8F2F5
206700,A0A125YI19
206710,S8F8M9
206910,S8GSP8
207005,S8EVM8
207010,S8ESL5
207015,S8GDA0
207020,A0A125YKH4
207040,S8ESL3
207050,S8G449
207060,A0A125YW11
207065,S8EZ75
207070,S8EVL8
207080,S8ESL0
207100,S8G444
207120,S8EZ73
207130,S8EVL5
207140,S8ESK6
207150,S8G443
207160,S8GD90
207170,A0A125YZP0
207180,S8EVL1
207200,S8ESK3
207210,A0A125YH00
207230,S8EZ65
207240,S8GD86
207250,S8EVK1
207350,S8FC88
207370,S8GKV7
207390,A0A125YV19
207400,S8FF78
207403,S8FC85
207430,S8FF75
207440,A0A125YYJ1
207450,A0A125YNQ5
207460,A0A125YXV4
207590,S8FC78
207600,S8F962
207610,A0A125YXB6
207620,A0A125YZL8
207630,A0A125YQX6
207640,S8FC74
207650,A0A125YKQ3
207665,S8GKU0
207680,A0A125YIV5
207700,A0A125YX67
207710,A0A125YUF8
207720,S8GKT4
207730,S8GUZ3
207740,A0A125YG54
207750,S8FC68
207760,A0A125YH97
207770,A0A125YQR0
207780,A0A125YV07
207790,A0A125YLP5
207800,A0A125YG13
207820,A0A125YQE4
207830,A0A125YVG8
207840,A0A125YWE8
207900,S8GKS0
207910,S8GUY2
207920,S8FF48
207930,A0A125YWH5
207940,S8F943
207950,A0A125YH43
207955,A0A125YW82
207960,S8FF43
207965,S8FC56
207970,S8F939
207980,A0A125YY92
207990,S8GUX4
208010,S8FF39
208020,S8FC54
208030,A0A125YP11
208040,S8GKQ4
208050,S8GUX0
208070,S8FF35
208090,S8F928
208200,A0A125YX64
208300,A0A125YLY9
208310,A0A125YSE8
208320,S8FC50
208330,S8F926
208340,S8GKP6
208350,A0A125YXM8
208360,A0A125YIZ2
208370,S8FC47
208380,A0A125YQ46
208390,A0A125YI27
208400,S8GUV7
208410,S8FF24
208420,A0A125YRX4
208430,S8F923
208440,A0A125YPQ5
208450,A0A125YV09
208490,A0A125YT36
208500,A0A125YN39
208510,S8F915
208530,A0A125YMB6
208540,S8GUV1
208550,S8FF16
208560,S8FC35
208570,S8F908
208580,S8GKM6
208590,A0A125YWH0
208710,S8FF13
208718,S8FC31
208722,A0A125YL55
208730,S8GKM2
208740,A0A125YV89
208750,S8FF09
208760,S8FC27
208770,A0A125YFI5
208780,A0A125YLA6
208790,A0A125YYK4
208800,A0A125YRQ5
208810,A0A125YYM3
208820,S8F8Z5
208830,A0A125YUV5
208842,S8GUT9
208850,A0A125YPJ9
208910,S8FC20
208970,A0A125YWZ4
208980,A0A125YYV0
208990,A0A125YNM4
209000,S8FEZ8
209005,S8FC17
209010,S8F8Y8
209020,S8GKK4
209030,A0A125YH18
209050,A0A125YN48
209060,S8GKK0
209070,S8GUS6
209080,A0A125YV90
209090,A0A125YUZ1
209095,S8F8Y4
209100,S8GKJ4
209108,S8GUS3
209130,S8F8Y1
209140,S8GKJ0
209150,A0A125YSM7
209160,A0A125YVL2
209170,A0A125YYQ0
209180,A0A125YN33
209190,A0A125YYJ9
209200,S8GUR6
209210,S8FEY2
209240,S8FC00
209250,A0A125YX26
209260,A0A125YN86
209270,S8GUR2
209280,S8FEX8
209290,A0A125YJ28
209300,S8F8W5
209420,A0A125YUC5
209430,A0A125YJC0
209440,S8FBZ3
209450,S8F8W3
209460,S8GKH5
209470,S8GUQ6
209490,S8F8V2
209500,S8GKG9
209510,S8GUQ4
209515,S8FEW7
209520,S8FBY5
209530,S8F8V0
209540,S8GKG6
209550,S8GUQ2
209560,S8FEW2
209570,A0A125YKV9
209580,S8F8U8
209583,S8GKG2
209585,A0A125YXZ1
209590,S8FEV9
209600,A0A125YSN3
209610,A0A125YMP0
209620,S8GKF9
209630,S8FEV1
209640,S8GUP6
209650,S8FBR2
209680,S8GKF2
209690,A0A125YM14
209700,S8FET7
209705,S8FBP9
209710,S8F8Q0
209720,A0A125YSM4
209730,S8GUN0
209740,S8FET1
209755,S8FBP4
209770,S8F8P4
209780,S8GKA9
209790,S8GUM4
209800,A0A125YSC7
209810,S8FBP1
209820,S8F8N8
209830,S8GKA1
209850,S8GUL9
209860,S8FER8
209870,S8FBN4
209890,A0A125YZQ5
209900,S8GUL3
209910,A0A125YMF5
209920,S8FBN1
209930,S8F8M7
209940,S8GK87
209945,S8GUK7
209950,A0A125YN61
209960,S8FBM5
209970,S8F8M2
209985,S8GK81
210095,S8GUJ9
210100,S8FEP8
210210,S8G8U3
210230,S8F3X2
210255,S8G8T8
210260,A0A125YII4
210270,S8F3W6
210280,A0A125YY40
210300,S8EXI1
210310,A0A125YNX3
210320,A0A125YQ10
210330,A0A125YTZ8
210345,S8F0M9
210360,A0A125YWJ2
210370,A0A125YV61
210380,A0A125YQI6
210390,S8F3V3
210400,S8F0M3
210408,A0A125YGR9
210412,A0A125YTX1
210420,S8GI79
210430,S8F3U9
210440,S8EXG8
210450,S8F0L7
210490,S8EXG4
210600,S8G8R6
210678,A0A125YIF9
210682,A0A125YHA1
210690,A0A125YZ11
210700,S8F991
210715,A0A125YXX2
210730,A0A125YG24
210740,S8GHL1
210750,A0A125YNX0
210760,A0A125YN81
210770,S8FCF3
210778,S8GS10
210781,S8GHL5
210783,A0A125YNR3
210787,A0A125YR09
210790,A0A125YJK1
210800,A0A125YRE9
210810,A0A125YQ78
210815,A0A125YVI6
210820,A0A125YKS3
210830,A0A125YJL9
210840,A0A125YIM5
210950,A0A125YSI0
210960,A0A125YWJ7
210970,S8F9A7
210975,A0A125YV02
210980,A0A125YRL4
211010,S8F9B0
211020,A0A125YMJ8
211030,A0A125YG59
211040,A0A125YP59
211050,A0A125YKL6
211060,A0A125YZK0
211080,A0A125YJ77
211090,A0A125YX27
211150,S8F9B7
211220,A0A125YUR8
211230,A0A125YGI6
211240,A0A125YMW6
211250,A0A125YVR5
211260,A0A125YSW0
211270,S8FCI1
211280,S8GS32
211290,S8GHP7
211300,A0A125YY70
211310,S8F9C3
211320,A0A125YXA7
211330,A0A125YJJ1
211340,A0A125YL95
211350,A0A125YWU7
211360,A0A125YYZ1
211385,A0A125YK99
211390,A0A125YLK3
211400,A0A125YUM7
211410,S8FCJ4
211420,S8GS44
211430,S8GHR5
211440,A0A125YVG2
211450,A0A125YYR9
211460,A0A125YMI0
211470,A0A125YR87
211480,A0A125YXC6
211600,A0A125YKY7
211610,S8F6F1
211630,A0A125YSJ3
211640,S8GS54
211650,A0A125YXE6
211670,A0A125YJ44
211675,A0A125YFS6
211680,A0A125YQJ0
211690,S8GHS9
211695,A0A125YZ57
211700,A0A125YXH3
211710,A0A125YSH5
211720,A0A125YK17
211730,A0A125YPE7
211850,A0A125YRD9
211860,S8GEI6
211870,S8G5C3
211890,S8EWW2
211910,S8F054
211920,S8GEJ1
212030,S8G5C6
212075,S8F056
212090,S8GEJ3
212100,S8ETX6
212110,S8G5D0
212130,S8EWW8
212140,S8F060
212150,S8G5D3
212160,S8ETY0
212170,S8EWX3
212180,S8F062
212190,A0A125YRI9
212200,A0A125YGL8
212210,S8ETY3
212220,A0A125YVV8
212240,A0A125YJU4
212250,S8G5D9
212260,S8GEK6
212270,S8ETY6
212275,A0A125YN97
212280,S8GEL1
212290,S8F069
212300,S8G5E3
212310,S8ETZ0
212410,S8GRW6
212420,S8FCB1
212710,S8ETY4
212725,A0A125YG66
212735,S8EML2
212740,S8FBW5
212760,A0A125YGB4
212770,S8GH25
212775,S8F5Q8
212780,S8F8U1
212800,S8FBW9
212810,S8GRG1
212820,S8GH27
212830,S8F5R2
212840,S8F8U6
212850,S8FBX3
212860,S8GRG7
212880,S8GH32
212900,S8F5R7
212910,S8F8U9
212920,S8FBX6
212930,S8GRH2
212937,S8GH35
212940,S8F5S0
212950,A0A125YQC2
212960,S8GRH6
212970,S8GH41
212980,S8F5S4
212990,S8F8V6
213000,S8FBY4
213010,S8GRI2
213020,S8GH47
213030,A0A125YZ92
213040,S8F8V9
213050,A0A125YHQ8
213060,S8GRI9
213065,S8GH50
213067,S8F5T5
213069,S8F8W4
213072,S8FBZ4
213100,S8GH56
213115,S8GRJ4
213240,S8F5T8
213255,S8F8W9
213280,S8FBZ9
213290,S8GRK0
213300,S8GH61
213310,S8F5U2
213325,S8F8X3
213340,S8FC02
213350,A0A125YHZ2
213360,S8GH67
213370,A0A125YPV5
213380,S8FC08
213388,S8F8Y2
213392,S8GRL1
213400,S8GH71
213410,A0A125YSB4
213415,S8F8Z4
213420,S8FC14
213460,S8F5W0
213480,S8F8Z7
213490,S8FC19
213520,A0A125YWV7
213530,S8GH81
213550,S8F5W6
213560,S8F901
213570,S8FC25
213600,S8F5X0
213610,S8F907
213620,S8FC30
213635,S8GRN8
213650,S8GH90
213660,S8F5X5
213670,S8F910
213680,A0A125YIL6
213690,S8FC34
213700,S8GH95
213710,S8F5Y1
213720,S8F913
213730,S8FC38
213740,S8GRP9
213746,S8GHA1
213748,S8F5Y6
213752,S8F916
213760,S8FC44
213770,S8GRQ6
213780,S8GHA7
213790,S8F5Z2
213800,A0A125YFW8
213810,A0A125YXU6
213820,S8GRR2
213830,A0A125YNM2
213840,S8F5Z7
213850,S8F922
213860,S8FC57
213870,S8GRR9
213880,S8GHB7
213890,S8F930
213900,A0A125YSM6
213910,S8FC61
213920,S8GHC3
213930,S8F606
213940,S8F934
213950,S8GRT2
213970,A0A125YFC7
214070,S8GDS4
214080,S8G4J8
214090,S8EZH5
214100,A0A125YFJ4
214110,S8ET38
214115,S8GDR9
214120,S8G4J4
214130,S8EZH3
214140,S8EW31
214150,A0A125YMS9
214160,S8GDR6
214170,S8G4J0
214180,S8EZH1
214190,A0A125YUE4
214200,S8ET28
214210,A0A125YRK1
214220,S8GDR1
214230,S8EZG7
214240,S8EW24
214250,A0A125YPC9
214260,S8G4I1
214270,S8GDQ5
214280,S8EZG3
214290,S8EW18
214295,S8ET20
214300,S8G4H4
214310,S8GDQ1
214320,A0A125YKB1
214330,S8EW13
214340,A0A125YKF5
214350,A0A125YQA6
214370,S8GDP5
214400,S8G4G6
214410,S8GDN9
214420,S8EZF8
214430,S8EW05
214440,S8ET05
214470,S8G4G1
214480,S8GDN4
214490,S8EZF6
214500,S8EW00
214510,A0A125YVZ3
214520,S8G4F6
214530,S8GDN0
214540,S8EZF4
214560,S8G4F4
214570,S8GDM4
214575,A0A125YQL5
214580,S8EVY9
214590,A0A125YVK8
214600,S8G4F0
214610,S8GDL9
214620,S8EZF0
214630,S8EVY4
214740,S8ESY9
214750,S8G4E7
214760,S8GDL4
214770,A0A125YLS2
214780,S8EVY1
214783,S8ESY4
214787,S8G4E2
214790,A0A125YXQ7
214800,S8EZE3
214810,A0A125YP96
214820,A0A125YSV9
214830,S8G4D8
214835,S8EZE1
214840,S8GDK2
214850,S8ESX0
214860,S8EVX1
214870,S8G4D4
214880,S8GDJ8
214900,S8EZD9
214910,S8EVW8
214920,S8ESW8
214930,A0A125YMA8
214940,S8GDJ1
214950,A0A125YG18
214960,S8EVW3
214970,S8ESW0
214980,S8G4C8
214990,S8GDI6
215010,S8EZD4
215020,S8EVV8
215030,S8ESV7
215040,S8G4C3
215055,S8GDH9
215060,A0A125YHR0
215070,S8ESV1
215080,S8G4B9
215090,S8GDH4
215100,S8EZD0
215130,S8EVV1
215140,S8ESU5
215150,S8G4B4
215160,A0A125YPS2
215165,S8EZC7
215170,S8EST9
215210,S8EVU3
215220,S8EZC4
215230,S8EST1
215250,S8G4A8
215260,S8EZC1
215270,S8GDF5
215280,A0A125YH79
215290,S8ESS6
215300,S8G4A5
215320,S8GDF0
215328,S8EZB8
215347,A0A125YK45
215350,A0A125YJP3
215360,S8EZB6
215370,S8EVS5
215380,S8ESR9
215385,S8G497
215390,S8GDE0
215400,S8EZB3
215410,A0A125YRH3
215420,A0A125YV39
215430,A0A125YME7
215440,S8EZB0
215450,A0A125YZH9
215460,A0A125YKH0
215470,A0A125YJN7
215480,S8GDD1
215490,S8EZA7
215500,S8EVR3
215510,S8ESQ6
215520,S8GDC8
215530,A0A125YUY8
215540,A0A125YHI5
215550,S8EVR0
215560,S8ESP8
215570,S8G483
215590,A0A125YI83
215600,S8EVQ7
215610,S8ESP4
215620,S8G480
215640,S8EZA1
215650,S8GDC2
215660,S8EVQ4
215670,S8ESP0
215680,S8G475
215690,S8GDC0
215700,S8EZ97
215710,S8EVP9
215730,A0A125YVF1
215740,S8G472
215750,S8GDB6
215775,A0A125YFK9
215785,S8EVP5
215885,A0A125YN72
215890,A0A125YIH4
215895,A0A125YW92
215900,A0A125YPL1
215910,A0A125YHY7
215920,A0A125YXG9
215930,A0A125YK73
215940,A0A125YUW9
215950,A0A125YHY4
215955,A0A125YGM6
215960,A0A125YZ35
215970,A0A125YVK1
215980,A0A125YHJ4
215990,S8GB10
216000,A0A125YIN2
216010,A0A125YTV4
216020,A0A125YI57
216030,S8EWR5
216040,A0A125YGX6
216050,A0A125YPN9
216053,A0A125YTR4
216055,A0A125YQP5
216060,A0A125YJI6
216070,A0A125YIN1
216080,A0A125YQK8
216090,A0A125YVZ8
216120,A0A125YSL7
216130,A0A125YWQ3
216140,A0A125YUL2
216150,A0A125YY31
216155,A0A125YYK1
216160,A0A125YMZ1
216170,A0A125YTW2
216180,A0A125YZ88
216190,S8G1S5
216200,A0A125YIA9
216210,S8ETA5
216220,A0A125YFX0
216240,S8G1T0
216250,A0A125YPN4
216260,A0A125YNU3
216270,A0A125YYH0
216275,A0A125YL61
216280,A0A125YNV2
216285,A0A125YJ21
216290,S8ETB7
216335,S8EWT7
216370,A0A125YY23
216375,A0A125YXP6
216380,A0A125YXJ8
216390,A0A125YFK7
216400,A0A125YFK2
216410,A0A125YJI0
216415,A0A125YQ16
216420,A0A125YHB8
216430,S8G1U3
216435,A0A125YYC6
216440,A0A125YKY0
216450,A0A125YSB6
216460,A0A125YQW4
216470,A0A125YTD1
216480,S8EWU8
216490,A0A125YPD0
216500,S8G1V5
216510,S8EQ99
216530,S8ETD3
216540,S8EWV3
216560,S8GB62
216580,A0A125YUQ2
216585,S8EQA3
216590,S8ETD7
216600,S8EWW1
216610,S8GB66
216620,A0A125YJZ8
216630,S8EQA6
216640,S8ETE1
216650,A0A125YPG1
216660,A0A125YFT1
216670,A0A125YI48
216680,S8EQB0
216700,S8ETE4
216710,S8EWX2
216720,A0A125YMF1
216730,S8GB78
216740,A0A125YH87
216750,S8ETE7
216760,S8EWX7
216770,S8GB83
216780,S8EQB5
216785,S8G1X7
216790,A0A125YMA1
216800,A0A125YFR6
216810,A0A125YHM3
216820,A0A125YJW4
216830,A0A125YG52
216840,S8ETF4
216850,S8EWY6
216860,A0A125YNR2
216870,A0A125YY42
216875,S8EQC2
216880,A0A125YYS0
216890,S8GB98
216900,S8EWZ2
216910,S8G1Y9
216920,A0A125YH38
216930,A0A125YYB4
216940,S8EWZ5
216950,S8GBA3
216960,A0A125YUJ5
216965,S8EQD0
216970,A0A125YW79
216980,S8EX01
216990,A0A125YQ62
217000,A0A125YLH8
217010,S8EQD6
217020,A0A125YK82
217030,A0A125YTH6
217040,S8GBB2
217050,A0A125YNL9
217160,A0A125YQQ8
217220,A0A125YVQ7
217340,A0A125YID3
217350,A0A125YLJ5
217360,S8G8W5
217370,A0A125YGJ3
217380,A0A125YNV7
217390,A0A125YM47
217400,S8EUT0
217410,S8G8X0
217420,S8FZS1
217430,A0A125YSW9
217440,A0A125YFS5
217450,A0A125YS43
217460,A0A125YXL3
217470,S8FZS6
217480,A0A125YJJ2
217490,A0A125YXV2
217500,S8EUT7
217510,S8G8Y2
217520,A0A125YV04
217530,S8EN88
217540,A0A125YG07
217550,S8EUU1
217555,A0A125YUZ8
217560,A0A125YU83
217570,S8EN92
217580,A0A125YNE9
217590,A0A125YV74
217600,A0A125YFH6
217610,S8FZT8
217620,A0A125YGC8
217630,S8EN95
217640,A0A125YJD9
217650,A0A125YK51
217660,A0A125YNW5
217665,A0A125YPL7
217670,S8ER55
217680,S8EUV4
217688,S8FZU9
217692,S8G902
217700,S8EN98
217710,A0A125YJI9
217720,S8EUW0
217722,S8G908
217724,S8FZV4
217726,S8ENA3
217728,S8ER67
217730,S8EUW4
217740,A0A125YUN8
217760,S8ENA6
217770,A0A125YVD4
217780,S8EUW8
217790,S8G921
217800,A0A125YQG6
217810,A0A125YQV4
217820,A0A125YQV0
217830,S8EUX2
217850,S8G927
217855,S8ENB6
217860,A0A125YG53
217870,A0A125YSQ2
217875,S8EUX7
217880,A0A125YKW1
217890,A0A125YNG8
217900,A0A125YN84
217910,A0A125YRL3
217940,S8ENC3
217951,S8EMV8
217961,S8ENC3
218000,S8EN77
218070,A0A125YPZ6
218130,S8G8W0
218200,S8FZQ5
218210,A0A125YGL5
218215,S8EUR3
218220,A0A125YRL7
218230,A0A125YHX3
218240,A0A125YRT6
218250,S8G8U9
218260,A0A125YLK8
218270,A0A125YIV8
218280,A0A125YIH2
218290,S8FZP7
218300,S8G8U4
218350,S8EN63
218358,A0A125YVH5
218362,S8G8T9
218400,S8EN59
218410,A0A125YFP1
218420,S8G8T4
218450,S8EUP3
218460,A0A125YVQ1
218470,S8EN54
218490,S8FZN1
218500,S8G8S9
218510,S8EQZ1
218520,S8EUN7
218530,S8FZM8
218540,S8EN43
218550,S8G8S5
218560,S8EUN2
218570,S8EQY7
218580,S8EN39
218590,S8FZM1
218600,S8G8S2
218610,S8EUM7
218720,S8EQY1
218730,A0A125YIP1
218740,A0A125YFW4
218750,S8G8R7
218760,S8EUM1
218770,S8EQX7
218780,S8EN29
218790,S8FZL1
218800,S8G8R3
218810,S8EUL6
218820,A0A125YFQ8
218830,S8EN26
218840,S8FZK4
218850,S8G8Q9
218860,S8EUL1
218870,S8EQW8
218880,A0A125YP87
218890,S8FZK0
218900,S8G8Q5
218910,S8EUK6
218920,A0A125YL46
218930,A0A125YRW7
218940,S8G8Q0
218950,S8FZJ5
218955,A0A125YSX7
218960,S8EQW3
219070,S8EN17
219080,S8G8P6
219090,S8FZJ0
219100,S8EUJ6
219110,S8EQW1
219120,S8EN13
219130,S8G8P1
219140,A0A125YHV2
219150,S8EQV9
219160,S8EN08
219170,S8FZH9
219180,S8EUI5
219190,S8EQV7
219200,S8EN05
219210,S8FZH5
219230,S8EQV4
219240,S8EN04
219250,S8FZH0
219260,S8G8M6
219270,A0A125YRY4
219280,A0A125YSC1
219290,S8EN02
219300,S8FZG5
219310,A0A125YW69
219320,A0A125YT84
219348,S8G3U8
219370,S8EQV0
219430,S8EMZ9
219440,S8FZG0
219450,S8G8L8
219460,S8EUG3
219485,S8EMZ7
219500,S8FZF3
219510,S8G8L3
219520,A0A125YYW8
219530,S8EQU6
219540,S8EMZ1
219550,A0A125YJF1
219570,S8G8K9
219590,A0A125YW15
219600,S8EQU4
219610,S8EMY8
219620,S8FZE3
219630,S8G8K4
219640,S8EUE5
219650,S8EQU2
219660,S8EMY5
219670,S8FZD8
219678,S8G8K0
219682,S8EUE1
219690,S8EQU0
219700,S8EMY3
219710,S8FZD4
219720,S8G8J6
219730,S8EUD6
219738,S8EQT6
219742,S8EMY0
219750,A0A125YIF5
219760,S8G8J1
219770,S8EUD1
219780,S8EMX7
219790,S8EQT4
219800,A0A125YPJ1
219810,S8G8I6
