filename,width,height,n_wells
pmc__PMC11974962__mbc-36-ar32-g004.png,1401,2221,8
pmc__PMC12056192__42003_2025_8058_Fig2_HTML.png,1753,2411,4
pmc__PMC12065787__42003_2025_8149_Fig4_HTML.png,2000,1878,8
pmc__PMC12234471__fcimb-15-1542122-g003.png,2061,1318,6
pmc__PMC12234471__fcimb-15-1542122-g005.png,1890,1531,5
pmc__PMC12308898__13071_2025_6966_Fig2_HTML.png,1948,941,3
pmc__PMC12345243__mbio.01119-25.f002.png,1497,1689,3
pmc__PMC12358420__fcimb-15-1642716-g004.png,2645,1801,4
pmc__PMC12421964__mbio.00052-25.f002.png,1685,1046,3
pmc__PMC12425318__ppat.1013475.g001.png,2434,3449,6
pmc__PMC12425318__ppat.1013475.g003.png,2395,3426,12
pmc__PMC12425318__ppat.1013475.g004.png,2425,3320,3
pmc__PMC12425318__ppat.1013475.g005.png,2405,3162,4
pmc__PMC12425318__ppat.1013475.g006.png,2375,3213,7
pmc__PMC12425318__ppat.1013475.g007.png,2180,3445,10
pmc__PMC12482187__msphere.00026-25.f002.png,2060,1807,2
pmc__PMC12517565__jcb_202312109_fig6.png,1782,2506,4
pmc__PMC12538992__13071_2025_7054_Fig2_HTML.png,1961,948,4
pmc__PMC12538992__13071_2025_7054_Fig3_HTML.png,1961,1832,4
pmc__PMC12538992__13071_2025_7054_Fig4_HTML.png,1961,831,4
pmc__PMC12589562__41467_2025_64701_Fig2_HTML.png,1759,2428,18
pmc__PMC12589562__41467_2025_64701_Fig3_HTML.png,1845,2200,12
pmc__PMC12607627__mbio.02207-25.f004.png,2905,2602,3
pmc__PMC12611264__elife-101894-fig3.png,1890,2094,3
pmc__PMC12693976__sciadv.aea2136-f3.png,2100,2700,18
pmc__PMC12693976__sciadv.aea2136-f4.png,3021,1890,4
pmc__PMC12711892__41467_2025_66137_Fig5_HTML.png,2000,1784,8
pmc__PMC12750888__13071_2025_7139_Fig4_HTML.png,1961,1567,6
pmc__PMC12819142__41594_2025_1728_Fig16_ESM.png,1654,1489,6
pmc__PMC12822446__ADVS-13-e08250-g002.png,2051,1932,1
pmc__PMC12838348__msphere.00713-25.f002.png,1760,1246,4
pmc__PMC12871999__ppat.1013886.g003.png,2112,1534,4
pmc__PMC12871999__ppat.1013886.g004.png,1560,2236,10
pmc__PMC12889055__spectrum.02691-25.f003.png,2205,1379,4
pmc__PMC12937478__animals-16-00653-g002.png,2000,1329,4
pmc__PMC13175489__ppat.1014080.g003.png,1996,2060,3
pmc__PMC13204336__cells-15-00908-g002.png,3242,3748,4
pmc__PMC13298984__ppat.1013865.g003.png,2845,3675,4
pmc__PMC3078074__1290fig3.png,750,1585,6
pmc__PMC3567180__ppat.1003162.g006.png,1359,1665,12
pmc__PMC3567180__ppat.1003162.g007.png,1318,1845,4
pmc__PMC3961375__ppat.1004025.g003.png,2058,2266,5
pmc__PMC3961375__ppat.1004025.g005.png,2058,1750,2
pmc__PMC3961375__ppat.1004025.g006.png,2058,1675,2
pmc__PMC4074098__pone.0100450.g005.png,1980,1101,6
pmc__PMC4212836__mbo0051420390002.png,2100,1437,10
pmc__PMC4742710__mbo0011626580002.png,2090,1521,3
pmc__PMC4751604__549fig9.png,1750,2775,4
pmc__PMC4764566__elife-10809-fig4.png,1654,1932,5
pmc__PMC4895117__mbo0031628420005.png,1650,1149,3
pmc__PMC4917082__pone.0157873.g003.png,1929,1917,4
pmc__PMC5039622__srep34448-f4.png,2475,2058,3
pmc__PMC5341725__411fig6.png,1900,2009,4
pmc__PMC5426850__1361fig5.png,2333,2529,12
pmc__PMC5487736__mbo0031733690001.png,1500,1935,6
pmc__PMC5693876__fmicb-08-02210-g005.png,2600,509,6
pmc__PMC5738351__41598_2017_18010_Fig6_HTML.png,1900,1090,2
pmc__PMC5770543__sph0011824570003.png,1300,1726,5
pmc__PMC5770543__sph0011824570007.png,1400,1980,4
pmc__PMC5901921__pone.0195921.g007.png,2150,1285,4
pmc__PMC6084407__gr5.png,2031,2586,17
pmc__PMC6133553__elife-38097-fig4.png,1593,1335,4
pmc__PMC6168857__mbo0051840820002.png,1600,1128,8
pmc__PMC6199492__mbo0051841180004.png,1700,984,6
pmc__PMC6199492__mbo0051841180005.png,1900,1595,3
pmc__PMC6199492__mbo0051841180006.png,1500,1807,5
pmc__PMC6199492__mbo0051841180007.png,2600,3114,3
pmc__PMC6212819__mbo0051841240007.png,1900,2560,6
pmc__PMC6386423__ppat.1007577.g003.png,1789,2477,23
pmc__PMC6459975__41598_2019_42441_Fig5_HTML.png,1650,2259,3
pmc__PMC6459975__41598_2019_42441_Fig7_HTML.png,1650,2069,4
pmc__PMC6531880__mSphere.00086-19-f0004.png,1800,1272,3
pmc__PMC6561023__mBio.00898-19-f0001.png,1600,1419,4
pmc__PMC6561023__mBio.00898-19-f0008.png,2090,1239,6
pmc__PMC6563121__CMI-21-na-g001.png,1006,2143,3
pmc__PMC6724518__mbc-30-1160-g004.png,1900,1335,4
pmc__PMC6908810__fcimb-09-00418-g0003.png,2835,1370,4
pmc__PMC7048138__12860_2020_249_Fig6_HTML.png,1563,2035,4
pmc__PMC7296777__12915_2020_791_Fig8_HTML.png,1420,1783,4
pmc__PMC7365478__ppat.1008650.g004.png,1918,1051,4
pmc__PMC7487798__fmicb-11-536044-g003.png,3943,4374,12
pmc__PMC7533317__MBT2-13-2057-g002.png,1985,1141,3
pmc__PMC7536263__fvets-07-562730-g0003.png,2008,1770,3
pmc__PMC7720076__gr7.png,1889,2599,3
pmc__PMC7728818__42003_2020_1480_Fig4_HTML.png,1975,1432,4
pmc__PMC7793252__ppat.1008771.g002.png,1290,2610,3
pmc__PMC7817038__ppat.1009067.g005.png,1948,2610,6
pmc__PMC7933011__fvets-08-634612-g0003.png,2899,2966,3
pmc__PMC7949121__gr6.png,1649,2215,8
pmc__PMC7991638__41598_2021_86204_Fig1_HTML.png,1500,1123,1
pmc__PMC8092286__mBio.03305-20-f0002.png,1990,2625,8
pmc__PMC8157420__13071_2021_4791_Fig7_HTML.png,1772,1287,2
pmc__PMC8265663__msphere.00444-21-f004.png,2090,1716,3
pmc__PMC8315086__41421_2021_295_Fig7_HTML.png,1950,2142,1
pmc__PMC8348199__ijms-22-07943-g006.png,3512,2264,2
pmc__PMC8354455__ppat.1009335.g004.png,1949,2115,6
pmc__PMC8359067__13071_2021_4878_Fig2_HTML.png,1772,812,4
pmc__PMC8545131__mbio.03622-20-f0002.png,2051,2625,2
pmc__PMC8545131__mbio.03622-20-f0003.png,1600,1143,13
pmc__PMC8651083__msystems.01196-21-f001.png,1750,1226,4
pmc__PMC8651083__msystems.01196-21-f007.png,1750,2023,9
pmc__PMC8754167__msphere.00896-21-f006.png,1247,2339,4
pmc__PMC8941121__42003_2022_3205_Fig5_HTML.png,2000,2023,13
pmc__PMC8941121__42003_2022_3205_Fig6_HTML.png,2000,2357,10
pmc__PMC8941121__42003_2022_3205_Fig8_HTML.png,1759,2500,5
pmc__PMC8965508__fcimb-12-812152-g001.png,2943,2201,4
pmc__PMC9167752__nihms-1788563-f0001.png,1800,1488,8
pmc__PMC9167752__nihms-1788563-f0004.png,1800,1514,10
pmc__PMC9218915__fmicb-13-899243-g004.png,2107,2883,12
pmc__PMC9218915__fmicb-13-899243-g007.png,2116,2812,10
pmc__PMC9241542__msphere.00160-22-f002.png,2090,1412,3
pmc__PMC9241709__spectrum.01891-21-f005.jpg,3500,2887,4
pmc__PMC9286291__ppat.1010665.g004.png,2100,1091,4
pmc__PMC9286291__ppat.1010665.g005.png,2100,1313,4
pmc__PMC9286291__ppat.1010665.g007.png,2100,1603,6
pmc__PMC9286291__ppat.1010665.g008.png,2100,1452,4
pmc__PMC9379089__fvets-09-972500-g0001.png,3071,2204,6
pmc__PMC9386495__gr7.png,2082,1568,12
pmc__PMC9418836__JCB_202111084_FigS2.png,1561,2212,14
pmc__PMC9418836__JCB_202111084_FigS4.png,1892,2116,4
pmc__PMC9418836__JCB_202111084_FigS9.png,2073,2393,4
pmc__PMC9420914__fcimb-12-947039-g003.png,4985,3800,2
pmc__PMC9436145__ppat.1010776.g004.png,2100,2345,8
pmc__PMC9521846__ppat.1010864.g002.png,2000,2383,8
pmc__PMC9600588__mbio.01965-22-f002.png,2090,1884,4
pmc__PMC9619220__gr4.png,1893,2481,6
pmc__PMC9619220__gr5.png,1717,2210,6
pmc__PMC9624417__ppat.1010901.g006.png,1836,2612,11
pmc__PMC9815656__pbio.3001937.g003.png,2100,2466,8
pmc__PMC9880002__41467_2023_36084_Fig4_HTML.png,2000,1665,8
pmc__PMC9927372__spectrum.03078-22-f004.png,2090,1249,17
pmc__PMC9927372__spectrum.03078-22-f006.png,1900,1917,7
pmc__PMC9927405__spectrum.03091-22-f002.png,1700,1180,12
pmc__PMC9947163__41467_2023_36571_Fig5_HTML.png,1500,940,2
pmc__PMC9965244__micromachines-14-00282-g006.png,2420,1604,6
pmc__PMC9973341__mbio.03642-21-f007.png,1500,2016,4
